 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
49192,47,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,382978.7234,63829.78723,23.5,28.99137803,44,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,20,42553.19149,21276.59574,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,17777,65535,1,20,0.0,0.0,0,0,0.0,0.0,0,0
49187,93,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,129032.2581,21505.37634,93.0,0.0,93,93,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,10752.68817,10752.68817,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,16354,65535,0,20,0.0,0.0,0,0,0.0,0.0,0,0
123,64015498,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,5.998547414,0.124969738,9145071.143,24200000.0,64000000,3,64000000,21300000.0,37000000.0,64000000,3,64000000,21300000.0,37000000.0,64000000,3,0,0,0,0,104,104,0.062484869,0.062484869,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,54.0,48.0,48.0,104,0,0,0,0,0,0,4,192,4,192,-1,-1,3,20,139.0,0.0,139,139,64000000.0,0.0,64000000,64000000
443,135852,2,1,12,0,6,6,6.0,0.0,0,0,0.0,0.0,88.33141949,22.08285487,67926.0,95993.98819,135804,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,40,32,14.72190325,7.360951624,0,6,4.5,3.0,9.0,1,0,0,0,0,0,0,0,0,6.0,6.0,0.0,40,0,0,0,0,0,0,2,12,1,0,0,118,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,156078,3,2,18,0,6,6,6.0,0.0,0,0,0.0,0.0,115.3269519,32.03526442,39019.5,77974.33648,155981,1,97,48.5,0.707106781,49,48,156029,156029.0,0.0,156029,156029,0,0,0,0,60,64,19.22115865,12.81410577,0,6,4.0,3.098386677,9.6,1,0,0,0,0,0,0,0,0,4.8,6.0,0.0,60,0,0,0,0,0,0,3,18,2,0,0,118,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49195,174348,2,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,103.2417923,28.67827563,43587.0,87048.04275,174159,1,174348,174348.0,0.0,174348,174348,4,2.0,1.414213562,3,1,0,0,0,0,64,60,11.47131025,17.20696538,0,6,3.0,3.286335345,10.8,0,0,0,0,1,0,0,0,1,3.6,0.0,6.0,64,0,0,0,0,0,0,2,0,3,18,133,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,5219224,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,34.67948492,1.149596185,1043844.8,2281756.211,5125341,47,5219224,1304806.0,2547404.082,5125341,47,0,0.0,0.0,0,0,1,0,0,0,100,20,0.957996821,0.191599364,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,258,748,4,20,93579.0,0.0,93579,93579,5125341.0,0.0,5125341,5125341
49512,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,748,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,12773406,8725,7880,23797,18000000,762,0,2.727449857,12.82614801,5840,0,2286.682487,850.5308416,1412532.804,1299.966509,769.2969164,72841.58805,9347945,-1,12800000,1464.15486,100491.5911,9347990,0,12800000,1619.262851,105992.6145,9363824,0,0,0,0,0,239732,157612,683.0597884,616.9067201,0,5840,1086.526256,1282.241966,1644144.459,0,0,0,1,0,0,0,0,0,1086.591689,2.727449857,2286.682487,239732,0,0,0,0,0,0,8725,23797,7880,18019058,8192,1195,3457,20,1521706.0,0.0,1521706,1521706,9347945.0,0.0,9347945,9347945
443,110190971,19,22,5112,4008,3829,0,269.0526316,881.6991471,1400,0,182.1818182,418.0653442,82.76540189,0.372081302,2754774.275,4474732.726,9993264,30,110000000,6119637.944,4954420.985,10000000,236,110000000,5245229.476,5113114.394,10000000,47,0,0,0,0,392,448,0.172427921,0.199653382,0,3829,217.1428571,658.6881112,433870.0279,0,0,0,1,0,0,0,0,1,222.4390244,269.0526316,182.1818182,392,0,0,0,0,0,0,19,5112,22,4008,8192,9228,18,20,85914.45455,109130.6421,361859,37621,9928038.545,114476.1735,9993264,9671460
80,2275709,8304,7879,25237,20100000,763,0,3.039137765,8.863615822,10220,0,2546.197487,1322.651498,8826579.76,7111.190403,140.6321221,528.8254915,15480,0,2275704,274.082139,747.5134663,18167,0,2260362,286.9207921,725.7359199,15823,1,0,0,0,0,219200,157592,3648.972694,3462.217709,0,10220,1241.147244,1570.846184,2467557.733,0,0,0,1,0,0,0,0,0,1241.223939,3.039137765,2546.197487,219200,0,0,0,0,0,0,8304,25237,7879,20061490,8192,961,4080,20,0.0,0.0,0,0,0.0,0.0,0,0
80,72579,70,101,831,197720,423,0,11.87142857,49.85658314,4380,0,1957.623762,789.9016502,2735653.564,2356.053404,426.9352941,1970.6401,15313,1,72369,1048.826087,3153.693497,16701,19,57266,572.66,2070.572937,15411,2,0,0,0,0,1412,2032,964.4663057,1391.587098,0,4380,1154.366279,1135.386762,1289103.099,0,0,0,1,0,0,0,0,1,1161.116959,11.87142857,1957.623762,1412,0,0,0,0,0,0,70,831,101,197720,8192,946,69,20,0.0,0.0,0,0,0.0,0.0,0,0
80,96,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,125000.0,20833.33333,96.0,0.0,96,96,96,96.0,0.0,96,96,0,0.0,0.0,0,0,0,0,0,0,40,0,20833.33333,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,687,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,64438538,7,2,187,92,46,6,26.71428571,20.0890873,46,46,46.0,0.0,4.32970717,0.139667973,8054817.25,20300000.0,58100000,48,64400000,10700000.0,23300000.0,58100000,48,58200000,58200000.0,0.0,58200000,58200000,1,0,0,0,140,40,0.108630646,0.031037327,6,46,32.5,18.86354509,355.8333333,0,1,0,0,1,0,0,0,0,36.11111111,26.71428571,46.0,140,0,0,0,0,0,0,7,187,2,92,484,1622,6,20,105863.5,17429.47505,118188,93539,32100000.0,36800000.0,58100000,6109758
49518,258,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,46511.62791,7751.937984,258.0,0.0,258,258,258,258.0,0.0,258,258,0,0.0,0.0,0,0,0,0,0,0,40,0,7751.937984,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,1622,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
123,94087,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,1020.332246,21.25692179,94087.0,0.0,94087,94087,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,10.62846089,10.62846089,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,20,0,0,0,0,0,0,1,48,1,48,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
80,115360071,16,14,501,1773,417,0,31.3125,102.8608891,1767,0,126.6428571,472.1299702,19.71219314,0.260055318,3977933.483,4877365.222,10000000,2,115000000,7690671.4,4165124.209,10000000,228,110000000,8480479.231,3758020.37,10000000,274,0,0,0,0,332,424,0.13869617,0.121359149,0,1767,73.35483871,323.0020174,104330.3032,0,0,0,1,0,0,0,0,0,75.8,31.3125,126.6428571,332,0,0,0,0,0,0,16,501,14,1773,8192,946,15,20,26395.18182,7635.551229,48912,22868,9995701.0,4310.969868,10000000,9989761
80,115360405,16,14,501,1773,417,0,31.3125,102.8608891,1767,0,126.6428571,472.1299702,19.71213607,0.260054566,3977945.0,4877516.494,10000000,16,115000000,7690693.667,4165071.641,10000000,196,110000000,8480515.615,3757951.843,10000000,182,0,0,0,0,332,424,0.138695768,0.121358797,0,1767,73.35483871,323.0020174,104330.3032,0,0,0,1,0,0,0,0,0,75.8,31.3125,126.6428571,332,0,0,0,0,0,0,16,501,14,1773,8192,946,15,20,26208.63636,7800.467605,49201,22840,9995901.273,3873.076428,10000000,9989583
443,115126394,20,17,915,4842,474,0,45.75,111.8805166,1460,0,284.8235294,535.1929833,50.00590916,0.321385902,3197955.389,4652877.615,10200000,3,115000000,6059283.895,4896826.72,10200000,3,110000000,6904611.375,4796433.348,10200000,50,0,0,0,0,412,484,0.173722109,0.147663793,0,1460,151.5,380.9491525,145122.2568,0,0,0,1,0,0,0,0,0,155.5945946,45.75,284.8235294,412,0,0,0,0,0,0,20,915,17,4842,8192,62,19,20,23280.54545,24771.14446,97840,14952,10000000.0,48818.80377,10200000,9995720
443,115126915,20,16,913,4840,472,0,45.65,111.4777651,2920,0,302.5,764.1642057,49.97093859,0.312698382,3289340.429,4682268.005,10000000,0,115000000,6059311.316,4886215.697,10000000,1,110000000,7353395.667,4576861.516,10000000,237,0,0,0,0,412,464,0.173721323,0.138977058,0,2920,155.4864865,516.5749177,266849.6456,0,0,0,1,0,0,0,0,0,159.8055556,45.65,302.5,412,0,0,0,0,0,0,20,913,16,4840,8192,62,19,20,23069.81818,25124.44199,98764,15006,10000000.0,10556.14797,10000000,9996565
443,115127272,20,18,914,4847,473,0,45.7,111.6790985,1460,0,269.2777778,523.3325122,50.04027195,0.33006949,3111547.892,4618416.656,10200000,4,115000000,6059330.105,4897943.315,10200000,4,110000000,6498478.0,4938077.266,10200000,49,0,0,0,0,412,504,0.173720784,0.156348706,0,1460,147.7179487,376.5786385,141811.471,0,0,0,1,0,0,0,0,0,151.6052632,45.7,269.2777778,412,0,0,0,0,0,0,20,914,18,4847,8192,62,19,20,22422.54545,21846.34433,88148,14966,10000000.0,49829.65202,10200000,9995719
443,115369554,21,17,782,5277,336,0,37.23809524,83.19789947,1595,0,310.4117647,585.7560348,52.51818864,0.329376327,3118096.054,4612433.181,10100000,3,115000000,5768477.7,4958367.673,10100000,3,111000000,6923635.938,4797617.107,10100000,48,0,0,0,0,432,484,0.18202376,0.147352568,0,1595,155.3589744,408.9152201,167211.6572,0,0,0,1,0,0,0,0,0,159.4473684,37.23809524,310.4117647,432,0,0,0,0,0,0,21,782,17,5277,8192,62,20,20,49216.81818,52089.89693,206184,32103,10000000.0,35999.74251,10100000,9995780
443,115996063,23,18,857,8727,417,0,37.26086957,94.52811866,2920,0,484.8333333,957.6898829,82.62349387,0.353460272,2899901.575,4510068.262,10100000,1,116000000,5272548.318,5001218.338,10100000,49,111000000,6517904.529,4926891.862,10100000,2,0,0,0,0,508,504,0.198282592,0.15517768,0,2920,228.1904762,660.0917615,435721.1336,0,0,0,1,0,0,0,0,0,233.7560976,37.26086957,484.8333333,508,0,0,0,0,0,0,23,857,18,8727,8192,62,19,20,57430.25,81078.43337,314736,32039,9608904.25,1403147.194,10100000,5154249
443,115996569,22,20,878,9253,426,0,39.90909091,97.86623966,2920,0,462.65,798.0978884,87.33879017,0.362079675,2829184.61,4482805.991,10100000,3,116000000,5523646.143,4992549.55,10100000,3,111000000,5826580.0,5093012.272,10100000,191,0,0,0,0,452,544,0.189660782,0.172418893,0,2920,235.6046512,582.1227223,338866.8638,0,0,0,1,0,0,0,0,0,241.2142857,39.90909091,462.65,452,0,0,0,0,0,0,22,878,20,9253,8192,62,21,20,43712.83333,32999.76408,148236,32055,9622667.667,1376111.821,10100000,5254527
443,115996666,23,18,849,7815,409,0,36.91304348,93.07080054,2037,0,434.1666667,707.8268524,74.69180192,0.353458435,2899916.65,4507134.787,10000000,25,116000000,5272575.727,4996152.275,10100000,48,111000000,6511560.059,4921891.687,10100000,224,0,0,0,0,508,504,0.198281561,0.155176874,0,2037,206.2857143,502.3112574,252316.5993,0,0,0,1,0,0,0,0,0,211.3170732,36.91304348,434.1666667,508,0,0,0,0,0,0,23,849,18,7815,8192,62,19,20,57400.33333,81405.31727,315791,32109,9608984.5,1368828.22,10000000,5262487
443,115997079,22,17,869,8223,417,0,39.5,96.1797672,2920,0,483.7058824,951.2253784,78.38128407,0.336215363,3052554.711,4582222.122,10100000,3,116000000,5523670.429,4986992.03,10200000,49,111000000,6918583.125,4802268.78,10200000,48,0,0,0,0,452,484,0.189659948,0.146555415,0,2920,227.3,652.7410528,426070.8821,0,0,0,1,0,0,0,0,0,233.1282051,39.5,483.7058824,452,0,0,0,0,0,0,22,869,17,8223,8192,62,21,20,47713.16667,47859.42927,199501,32052,9618706.0,1372232.516,10100000,5262645
443,115997479,23,18,1255,9686,407,0,54.56521739,118.4528391,2920,0,538.1111111,948.0921951,94.32101537,0.353455957,2899936.975,4515924.321,10100000,32,116000000,5272612.682,5011139.115,10100000,49,111000000,6517953.235,4940070.485,10100000,192,0,0,0,0,472,504,0.198280171,0.155175786,0,2920,260.5,662.9593024,439515.0366,0,0,0,1,0,0,0,0,0,266.8536585,54.56521739,538.1111111,472,0,0,0,0,0,0,23,1255,18,9686,8192,64,22,20,48869.33333,51097.69602,210878,32056,9617583.167,1405835.289,10100000,5154993
443,115997949,23,22,1255,11180,403,0,54.56521739,118.4420941,1460,0,508.1818182,667.4519163,107.2001713,0.387937894,2636317.023,4380078.248,10100000,1,116000000,5272634.045,5006260.297,10200000,3,111000000,5271313.429,5133291.851,10200000,1,0,0,0,0,472,584,0.198279368,0.189658526,0,1460,270.326087,517.5241939,267831.2913,0,0,0,1,0,0,0,0,0,276.3333333,54.56521739,508.1818182,472,0,0,0,0,0,0,23,1255,22,11180,8192,64,22,20,48605.41667,50982.20903,210324,32053,9617890.083,1371816.256,10100000,5263122
49317,3,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,14300000.0,1000000.0,1.5,0.707106781,2,1,3,1.5,0.707106781,2,1,0,0.0,0.0,0,0,0,0,0,0,60,0,1000000.0,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,62,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49316,50,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,860000.0,60000.0,25.0,32.52691193,48,2,50,25.0,32.52691193,48,2,0,0.0,0.0,0,0,0,0,0,0,60,0,60000.0,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,62,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49315,780,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,55128.20513,3846.153846,390.0,550.1290758,779,1,780,390.0,550.1290758,779,1,0,0.0,0.0,0,0,0,0,0,0,60,0,3846.153846,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,62,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49299,12,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,3583333.333,250000.0,6.0,7.071067812,11,1,12,6.0,7.071067812,11,1,0,0.0,0.0,0,0,0,0,0,0,60,0,250000.0,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,62,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49305,703,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6.0,0.0,69701.28023,5689.900427,234.3333333,364.3203718,655,21,703,351.5,429.2138162,655,48,0,0.0,0.0,0,0,0,0,0,0,60,20,4267.42532,1422.475107,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,62,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49297,192,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6.0,0.0,255208.3333,20833.33333,64.0,109.9863628,191,0,192,96.0,134.3502884,191,1,0,0.0,0.0,0,0,0,0,0,0,60,20,15625.0,5208.333333,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,62,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49295,185,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,232432.4324,16216.21622,92.5,129.400541,184,1,185,92.5,129.400541,184,1,0,0.0,0.0,0,0,0,0,0,0,60,0,16216.21622,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,64,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49294,4,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,10800000.0,750000.0,2.0,1.414213562,3,1,4,2.0,1.414213562,3,1,0,0.0,0.0,0,0,0,0,0,0,60,0,750000.0,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,64,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49296,569,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,75571.1775,5272.407733,284.5,400.9295449,568,1,569,284.5,400.9295449,568,1,0,0.0,0.0,0,0,0,0,0,0,60,0,5272.407733,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,62,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
49298,1032,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6.0,0.0,47480.62016,3875.968992,344.0,451.1618335,861,30,1032,516.0,487.903679,861,171,0,0.0,0.0,0,0,0,0,0,0,60,20,2906.976744,968.9922481,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,62,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0
443,152715,7,8,644,6118,289,0,92.0,118.8682744,1460,0,764.75,645.2017957,44278.5581,98.22217857,10908.21429,16435.91027,37353,19,152715,25452.5,17909.79486,39702,283,119870,17124.28571,21043.34199,41482,48,0,0,0,0,152,172,45.83701667,52.3851619,0,1460,422.625,570.3200125,325264.9167,0,0,0,1,0,0,0,0,1,450.8,92.0,764.75,152,0,0,0,0,0,0,7,644,8,6118,8192,980,6,20,0.0,0.0,0,0,0.0,0.0,0,0
443,154283,8,8,611,5358,249,0,76.375,104.4029796,1460,0,669.75,617.0755337,38688.6436,103.7055282,10285.53333,15122.65295,50193,30,154283,22040.42857,25896.26051,74590,185,80682,11526.0,13966.92394,28391,48,0,0,0,0,172,172,51.85276408,51.85276408,0,1460,351.1176471,517.2728828,267571.2353,0,0,0,1,0,0,0,0,1,373.0625,76.375,669.75,172,0,0,0,0,0,0,8,611,8,5358,8192,980,7,20,0.0,0.0,0,0,0.0,0.0,0,0
80,3330839,653,671,3218,1359797,377,0,4.928024502,26.28336667,4380,0,2026.5231,785.0768262,409210.7124,397.4974473,2517.640967,82273.20461,2992314,0,3330782,5108.56135,117190.0067,2992376,0,3315756,4948.889552,116315.6205,3010804,1,0,0,0,0,17092,13432,196.0467017,201.4507456,0,4380,1028.690566,1155.231499,1334559.817,0,0,0,1,0,0,0,0,1,1029.467523,4.928024502,2026.5231,17092,0,0,0,0,0,0,653,3218,671,1359797,8192,1047,317,20,0.0,0.0,0,0,0.0,0.0,0,0
