time,level,content,anomaly_label,heuristic_anomaly
Fri Jun 10 01:24:12 2005,error,[client 213.61.135.6] Invalid method in request get /scripts/.%252e/.%252e/winnt/system32/cmd.exe?/c+dir,1,1
Fri Jun 10 01:24:32 2005,error,[client 201.252.246.11] Invalid method in request get /scripts/.%252e/.%252e/winnt/system32/cmd.exe?/c+dir,1,1
Fri Jun 10 02:42:34 2005,error,[client 221.211.123.40] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 02:45:13 2005,error,[client 218.16.110.143] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 03:04:53 2005,error,[client 61.187.179.247] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:39 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:42 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:37:42 2005,error,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,1,1
Fri Jun 10 03:40:25 2005,error,[client 211.97.68.142] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 04:15:02 2005,error,[client 62.221.237.83] Invalid method in request get /scripts/..%35c../winnt/system32/cmd.exe?/c+dir,1,1
Fri Jun 10 04:18:49 2005,error,[client 61.4.64.180] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 10:45:05 2005,error,[client 219.154.34.244] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 11:01:52 2005,error,[client 66.201.171.199] File does not exist: /var/www/html/scripts/..%5c%5c..,1,1
Fri Jun 10 11:32:27 2005,error,"env.createBean2(): Factory error creating channel.jni:jni ( channel.jni, jni)",1,1
Fri Jun 10 11:32:27 2005,error,config.update(): Can't create channel.jni:jni,1,1
Fri Jun 10 11:32:27 2005,error,"env.createBean2(): Factory error creating vm: ( vm, )",1,1
Fri Jun 10 11:32:27 2005,error,config.update(): Can't create vm:,1,1
Fri Jun 10 11:32:27 2005,error,"env.createBean2(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)",1,1
Fri Jun 10 11:32:27 2005,error,config.update(): Can't create worker.jni:onStartup,1,1
Fri Jun 10 11:32:27 2005,error,"env.createBean2(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)",1,1
Fri Jun 10 11:32:27 2005,error,config.update(): Can't create worker.jni:onShutdown,1,1
Fri Jun 10 11:32:39 2005,error,mod_jk child init 1 0,1,1
Fri Jun 10 11:40:14 2005,error,[client 213.205.73.192] Invalid method in request get /scripts/..%e0%80%af../..%e0%80%af../..%e0%80%af../winnt/system32/cmd.exe?/c+dir,1,1
Fri Jun 10 11:59:44 2005,error,[client 61.4.64.179] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 14:21:15 2005,error,[client 61.10.7.8] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 14:35:01 2005,error,[client 24.2.25.240] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 15:56:08 2005,error,[client 219.130.98.254] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 20:23:18 2005,error,[client 210.22.201.118] File does not exist: /var/www/html/scripts/root.exe,1,1
Fri Jun 10 20:23:18 2005,error,[client 210.22.201.119] File does not exist: /var/www/html/MSADC,1,1
Fri Jun 10 20:23:19 2005,error,[client 210.22.201.120] File does not exist: /var/www/html/c,1,1
Fri Jun 10 20:23:19 2005,error,[client 210.22.201.117] File does not exist: /var/www/html/d,1,1
Fri Jun 10 20:23:20 2005,error,[client 210.22.201.124] File does not exist: /var/www/html/scripts/..%5c..,1,1
Fri Jun 10 20:23:20 2005,error,[client 210.22.201.118] File does not exist: /var/www/html/_vti_bin,1,1
Fri Jun 10 20:23:21 2005,error,[client 210.22.201.121] File does not exist: /var/www/html/_mem_bin,1,1
Fri Jun 10 20:23:21 2005,error,[client 210.22.201.125] File does not exist: /var/www/html/msadc,1,1
Fri Jun 10 20:23:22 2005,error,[client 210.22.201.120] File does not exist: /var/www/html/scripts/..\xc1\x1c..,1,1
Fri Jun 10 20:23:22 2005,error,[client 210.22.201.122] File does not exist: /var/www/html/scripts/..\xc0\xaf..,1,1
Fri Jun 10 20:23:23 2005,error,[client 210.22.201.117] File does not exist: /var/www/html/scripts/..\xc1\x9c..,1,1
Fri Jun 10 20:23:24 2005,error,[client 210.22.201.121] File does not exist: /var/www/html/scripts/..%5c..,1,1
Fri Jun 10 20:23:25 2005,error,[client 210.22.201.119] File does not exist: /var/www/html/scripts/..%2f..,1,1
Fri Jun 10 21:02:54 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/root.exe,1,1
Fri Jun 10 21:02:56 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/MSADC,1,1
Fri Jun 10 21:02:59 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/c,1,1
Fri Jun 10 21:03:01 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/d,1,1
Fri Jun 10 21:03:04 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,1,1
Fri Jun 10 21:03:06 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/_vti_bin,1,1
Fri Jun 10 21:03:12 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/_mem_bin,1,1
Fri Jun 10 21:03:14 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/msadc,1,1
Fri Jun 10 21:03:17 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x1c..,1,1
Fri Jun 10 21:03:22 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc0\xaf..,1,1
Fri Jun 10 21:03:24 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x9c..,1,1
Fri Jun 10 21:03:38 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,1,1
Fri Jun 10 21:03:44 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%2f..,1,1
Fri Jun 10 21:21:32 2005,error,[client 61.154.135.10] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 22:41:39 2005,error,[client 12.168.121.2] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 23:36:53 2005,error,[client 219.127.107.18] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 23:42:39 2005,error,[client 219.43.32.119] Directory index forbidden by rule: /var/www/html/,1,1
Fri Jun 10 23:46:20 2005,error,[client 222.166.160.83] Directory index forbidden by rule: /var/www/html/,1,1
Sat Jun 11 01:35:55 2005,error,[client 202.188.127.61] Directory index forbidden by rule: /var/www/html/,1,1
Sat Jun 11 02:46:33 2005,error,[client 58.83.8.110] Directory index forbidden by rule: /var/www/html/,1,1
Sat Jun 11 03:03:03 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:03 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:03 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:04 2005,error,jk2_init() Can't find child 4210 in scoreboard,1,1
Sat Jun 11 03:03:04 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:04 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:05 2005,error,jk2_init() Can't find child 4211 in scoreboard,1,1
Sat Jun 11 03:03:05 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:05 2005,error,jk2_init() Can't find child 4212 in scoreboard,1,1
Sat Jun 11 03:03:05 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:05 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:06 2005,error,jk2_init() Can't find child 4213 in scoreboard,1,1
Sat Jun 11 03:03:06 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:06 2005,error,jk2_init() Can't find child 4215 in scoreboard,1,1
Sat Jun 11 03:03:06 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:06 2005,error,jk2_init() Can't find child 4216 in scoreboard,1,1
Sat Jun 11 03:03:06 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:06 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:07 2005,error,jk2_init() Can't find child 4217 in scoreboard,1,1
Sat Jun 11 03:03:07 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:07 2005,error,jk2_init() Can't find child 4218 in scoreboard,1,1
Sat Jun 11 03:03:07 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:07 2005,error,jk2_init() Can't find child 4220 in scoreboard,1,1
Sat Jun 11 03:03:07 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:07 2005,error,jk2_init() Can't find child 4221 in scoreboard,1,1
Sat Jun 11 03:03:07 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:07 2005,error,jk2_init() Can't find child 4222 in scoreboard,1,1
Sat Jun 11 03:03:07 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:07 2005,error,jk2_init() Can't find child 4223 in scoreboard,1,1
Sat Jun 11 03:03:07 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:07 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4225 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4226 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4227 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4228 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4231 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4232 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4233 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4234 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4236 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4237 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:08 2005,error,jk2_init() Can't find child 4238 in scoreboard,1,1
Sat Jun 11 03:03:08 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:08 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/cgi,1,1
Sat Jun 11 03:03:09 2005,error,jk2_init() Can't find child 4241 in scoreboard,1,1
Sat Jun 11 03:03:09 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,1,1
Sat Jun 11 03:03:09 2005,error,jk2_init() Can't find child 4242 in scoreboard,1,1
Sat Jun 11 03:03:09 2005,error,mod_jk child init 1 -2,1,1
Sat Jun 11 03:03:09 2005,error,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/stats,1,1
Sat Jun 11 03:03:09 2005,error,jk2_init() Can't find child 4243 in scoreboard,1,1
Sat Jun 11 03:03:09 2005,error,jk2_init() Can't find child 4244 in scoreboard,1,1
