original_message,pattern_template,template_id,root_cause,severity,mitigation,timestamp,schema_id,original_time,original_level,original_content,original_anomaly_label,original_heuristic_anomaly
[client 207.203.80.15] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 12:08:57 2005,error,[client 207.203.80.15] Directory index forbidden by rule: /var/www/html/,1,1
[client 216.68.171.39] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 12:17:49 2005,error,[client 216.68.171.39] Directory index forbidden by rule: /var/www/html/,1,1
[client 24.158.204.7] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 12:48:10 2005,error,[client 24.158.204.7] Directory index forbidden by rule: /var/www/html/,1,1
[client 216.85.154.124] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 13:59:36 2005,error,[client 216.85.154.124] Directory index forbidden by rule: /var/www/html/,1,1
[client 219.136.165.149] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 14:22:15 2005,error,[client 219.136.165.149] Directory index forbidden by rule: /var/www/html/,1,1
[client 218.114.142.11] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 14:40:51 2005,error,[client 218.114.142.11] Directory index forbidden by rule: /var/www/html/,1,1
[client 211.74.182.199] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 15:06:08 2005,error,[client 211.74.182.199] Directory index forbidden by rule: /var/www/html/,1,1
[client 218.61.75.217] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 16:31:58 2005,error,[client 218.61.75.217] Directory index forbidden by rule: /var/www/html/,1,1
[client 12.32.56.253] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 17:04:03 2005,error,[client 12.32.56.253] Directory index forbidden by rule: /var/www/html/,1,1
[client 24.159.188.244] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 18:55:10 2005,error,[client 24.159.188.244] Directory index forbidden by rule: /var/www/html/,1,1
[client 222.76.16.61] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 18:56:23 2005,error,[client 222.76.16.61] Directory index forbidden by rule: /var/www/html/,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
[client 81.199.21.119] File does not exist: /var/www/html/sumthin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Thu Jun 09 19:23:32 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,1,1
